Site No.,State,District,Location,Pin code,Lat,Long,Address
1225,Gujarat,BOTAD,BOTAD,364710,31.548196,74.819629,"Tal: BOTAD, BOTAD, Gujarat.BOTADBOTAD364710Gujarat"
1226,Gujarat,ANAND,Anand,388180,21.884579,70.410669,"Taluka – Tarapur,AnandAnand388180Gujarat"
1227,Gujarat,JAMNAGAR,Jamnagar,360531,9.23925,76.801171,Village –SataparJamnagarJamnagar360531Gujarat
1228,Gujarat,MORBI,Morbi,363641,22.7659255007165,78.5055515079735,"Taluka – Morbi,MorbiMorbi363641Gujarat"
1229,Gujarat,PANCHMAHAL,Panchmahal,389001,22.6313297444679,75.1194477724914,"Village.Godhra,Taluka. Godhra,PanchmahalPanchmahal389001Gujarat"
1230,Gujarat,BHARUCH,Bharuch,392110,26.122263,75.379306,"Buva,Taluka- Amod,BharuchBharuch392110Gujarat"
1231,Gujarat,MORBI,Morbi,363621,8.88662,76.575368,"Village-Vaghasiya,Taluka–Wankaner,MorbiMorbi363621Gujarat"
1232,Gujarat,BANAS KANTHA,Banaskantha,385575,22.181337,69.415946,"Village.Kanothi,Taluka. Suigam,BanaskanthaBanaskantha385575Gujarat"
1233,Gujarat,JAMNAGAR,Jamnagar,361006,20.931689,85.552141,"Village.Kansumara,Taluka.Jamnagar,JamnagarJamnagar361006Gujarat"
1234,Gujarat,PATAN,patan,385340,26.003659,86.569382,"Taluka Radhanpur, Distt. Patanpatanpatan385340Gujarat"
1235,Gujarat,KHEDA,Kheda,387570,29.897266,73.653593,"Taluka – Matar,KhedaKheda387570Gujarat"
1236,Gujarat,AMRELI,Amreli,365601,19.154611,73.930535,"Taluka – Amreli,AmreliAmreli365601Gujarat"
1237,Gujarat,SURAT,Surat,394105,21.597689,72.218052,"Utran to kosad road, Utran,SuratSurat394105Gujarat"
1238,Gujarat,KACHCHH,Kutch,370427,28.838885,76.616356,"Village – Naranpar Ravri, Taluka – Bhuj,KutchKutch370427Gujarat"
1239,Gujarat,GANDHI NAGAR,Gandhinagar,382355,26.485476,79.448356,"Taluka: Gandhinagar,GandhinagarGandhinagar382355Gujarat"
